Sector,Level,Salary
Tecnologia da Informação,Entry,66624
Tecnologia da Informação,Mid,104479
Tecnologia da Informação,Senior,198355
Tecnologia da Informação,Entry,68607
Tecnologia da Informação,Mid,93591
Tecnologia da Informação,Senior,136922
Tecnologia da Informação,Entry,64211
Tecnologia da Informação,Mid,100536
Tecnologia da Informação,Senior,161818
Tecnologia da Informação,Entry,61512
Tecnologia da Informação,Mid,94501
Tecnologia da Informação,Senior,194882
Tecnologia da Informação,Entry,66216
Tecnologia da Informação,Mid,104671
Tecnologia da Informação,Senior,188068
Tecnologia da Informação,Entry,66958
Tecnologia da Informação,Mid,95616
Tecnologia da Informação,Senior,145224
Tecnologia da Informação,Entry,63327
Tecnologia da Informação,Mid,104714
Tecnologia da Informação,Senior,196158
Tecnologia da Informação,Entry,59832
Tecnologia da Informação,Mid,87154
Tecnologia da Informação,Senior,165543
Tecnologia da Informação,Entry,59026
Tecnologia da Informação,Mid,90001
Tecnologia da Informação,Senior,194979
Tecnologia da Informação,Entry,53877
Tecnologia da Informação,Mid,96544
Tecnologia da Informação,Senior,142416
Tecnologia da Informação,Entry,65768
Tecnologia da Informação,Mid,85910
Tecnologia da Informação,Senior,164669
Tecnologia da Informação,Entry,69433
Tecnologia da Informação,Mid,99127
Tecnologia da Informação,Senior,140609
Tecnologia da Informação,Entry,67009
Tecnologia da Informação,Mid,97479
Tecnologia da Informação,Senior,146568
Tecnologia da Informação,Entry,58222
Tecnologia da Informação,Mid,101539
Tecnologia da Informação,Senior,195674
Tecnologia da Informação,Entry,63041
Tecnologia da Informação,Mid,86088
Tecnologia da Informação,Senior,186952
Tecnologia da Informação,Entry,51683
Tecnologia da Informação,Mid,97414
Tecnologia da Informação,Senior,140445
Tecnologia da Informação,Entry,62698
Tecnologia da Informação,Mid,97402
Tecnologia da Informação,Senior,196451
Tecnologia da Informação,Entry,57656
Tecnologia da Informação,Mid,86166
Tecnologia da Informação,Senior,139824
Tecnologia da Informação,Entry,51645
Tecnologia da Informação,Mid,89898
Tecnologia da Informação,Senior,188373
Tecnologia da Informação,Entry,67312
Tecnologia da Informação,Mid,100857
Tecnologia da Informação,Senior,165835
Tecnologia da Informação,Entry,64700
Tecnologia da Informação,Mid,103441
Tecnologia da Informação,Senior,174164
Tecnologia da Informação,Entry,68318
Tecnologia da Informação,Mid,93020
Tecnologia da Informação,Senior,200960
Tecnologia da Informação,Entry,58778
Tecnologia da Informação,Mid,85853
Tecnologia da Informação,Senior,139177
Tecnologia da Informação,Entry,68248
Tecnologia da Informação,Mid,84292
Tecnologia da Informação,Senior,207385
Tecnologia da Informação,Entry,53186
Tecnologia da Informação,Mid,104934
Tecnologia da Informação,Senior,197751
Tecnologia da Informação,Entry,55681
Tecnologia da Informação,Mid,86214
Tecnologia da Informação,Senior,181354
Tecnologia da Informação,Entry,51030
Tecnologia da Informação,Mid,90542
Tecnologia da Informação,Senior,157869
Tecnologia da Informação,Entry,68300
Tecnologia da Informação,Mid,84767
Tecnologia da Informação,Senior,205418
Tecnologia da Informação,Entry,53436
Tecnologia da Informação,Mid,93381
Tecnologia da Informação,Senior,207457
Tecnologia da Informação,Entry,52908
Tecnologia da Informação,Mid,91146
Tecnologia da Informação,Senior,207675
Tecnologia da Informação,Entry,65080
Tecnologia da Informação,Mid,89875
Tecnologia da Informação,Senior,162354
Tecnologia da Informação,Entry,53189
Tecnologia da Informação,Mid,90507
Tecnologia da Informação,Senior,193570
Tecnologia da Informação,Entry,55368
Tecnologia da Informação,Mid,87880
Tecnologia da Informação,Senior,198644
Tecnologia da Informação,Entry,62809
Tecnologia da Informação,Mid,95214
Tecnologia da Informação,Senior,208779
Tecnologia da Informação,Entry,52833
Tecnologia da Informação,Mid,90876
Tecnologia da Informação,Senior,174924
Tecnologia da Informação,Entry,54569
Tecnologia da Informação,Mid,99755
Tecnologia da Informação,Senior,137909
Tecnologia da Informação,Entry,67605
Tecnologia da Informação,Mid,96643
Tecnologia da Informação,Senior,201893
Tecnologia da Informação,Entry,55691
Tecnologia da Informação,Mid,91588
Tecnologia da Informação,Senior,181034
Tecnologia da Informação,Entry,57161
Tecnologia da Informação,Mid,94300
Tecnologia da Informação,Senior,153538
Tecnologia da Informação,Entry,54776
Tecnologia da Informação,Mid,98133
Tecnologia da Informação,Senior,159726
Tecnologia da Informação,Entry,65517
Tecnologia da Informação,Mid,85611
Tecnologia da Informação,Senior,170277
Tecnologia da Informação,Entry,60920
Tecnologia da Informação,Mid,85991
Tecnologia da Informação,Senior,158489
Tecnologia da Informação,Entry,59243
Tecnologia da Informação,Mid,89219
Tecnologia da Informação,Senior,160114
Tecnologia da Informação,Entry,66543
Tecnologia da Informação,Mid,85165
Tecnologia da Informação,Senior,184831
Tecnologia da Informação,Entry,62338
Tecnologia da Informação,Mid,99387
Tecnologia da Informação,Senior,137466
Tecnologia da Informação,Entry,61166
Tecnologia da Informação,Mid,90581
Tecnologia da Informação,Senior,141309
Tecnologia da Informação,Entry,65415
Tecnologia da Informação,Mid,95453
Tecnologia da Informação,Senior,170342
Tecnologia da Informação,Entry,53433
Tecnologia da Informação,Mid,92660
Tecnologia da Informação,Senior,193825
Tecnologia da Informação,Entry,69923
Tecnologia da Informação,Mid,85484
Tecnologia da Informação,Senior,173444
Tecnologia da Informação,Entry,50184
Tecnologia da Informação,Mid,85492
Tecnologia da Informação,Senior,136618
Tecnologia da Informação,Entry,60785
Tecnologia da Informação,Mid,95563
Tecnologia da Informação,Senior,156497
Tecnologia da Informação,Entry,64792
Tecnologia da Informação,Mid,84282
Tecnologia da Informação,Senior,169582
Tecnologia da Informação,Entry,64235
Tecnologia da Informação,Mid,85386
Tecnologia da Informação,Senior,185630
Tecnologia da Informação,Entry,53592
Tecnologia da Informação,Mid,89884
Tecnologia da Informação,Senior,206010
