income,filing_status,state,compliance_score,deductions,tax_paid,refund_claimed,is_fraudulent
127893.64,Married Filing Jointly,ES,78.08,55938.87,31270.38,1553.18,0
44215.63,Single,SE,73.27,2806.99,10789.43,25628.47,0
37495.6,Married Filing Jointly,ES,86.0,5361.3,10622.18,1547.35,0
58084.87,Married Filing Jointly,MT,86.85,36259.95,12631.51,12875.72,0
108733.3,Married Filing Separately,PA,90.16,8025.38,21735.77,1687.03,0
57056.31,Married Filing Jointly,AP,87.49,4365.27,3432.56,1567.64,0
52387.18,Single,MG,70.4,14325.7,14456.99,1152.12,0
58218.94,Single,PA,88.9,28370.78,10874.64,3197.23,0
23815.25,Married Filing Separately,SP,69.89,13433.56,2657.96,3605.76,0
189375.02,Married Filing Jointly,ES,66.3,76429.0,57689.43,3963.67,0
36240.4,Married Filing Separately,DF,77.77,305.37,3254.19,12847.35,0
119152.17,Head of Household,PE,93.61,8117.58,28456.29,16669.67,0
21502.58,Single,RJ,89.77,1543.59,3839.61,1100.99,0
30710.25,Married Filing Jointly,PB,86.56,3509.35,3435.42,22749.47,0
23348.16,Married Filing Separately,DF,65.01,1419.75,5065.23,19749.98,0
13150.77,Single,CE,85.66,14537.06,804.27,13389.58,0
96449.05,Single,SP,71.66,88697.79,37373.51,11532.74,0
67138.13,Married Filing Jointly,MS,84.87,87296.72,52851.78,12095.5,0
71597.68,Married Filing Separately,TO,68.15,23962.55,35557.98,51.23,0
36130.57,Married Filing Separately,RS,64.07,2317.95,11874.78,9878.38,0
198796.4,Head of Household,SP,97.08,37402.32,27284.23,7022.77,0
23949.02,Married Filing Jointly,RN,91.92,2445.06,13916.3,1325.76,0
27887.47,Single,AP,71.09,1690.33,1034.66,28660.96,0
96434.18,Married Filing Jointly,RN,80.43,24208.52,53278.18,23776.38,0
44500.49,Married Filing Jointly,AC,92.35,25709.7,25709.38,7471.89,0
145305.55,Single,CE,69.8,9794.83,83506.81,8244.92,0
170230.33,Head of Household,PE,82.23,41740.7,32708.19,6601.63,0
79022.41,Single,TO,76.83,17602.49,12516.89,141.17,0
61231.13,Married Filing Separately,MG,95.62,19355.65,11751.07,51.25,0
145816.67,Married Filing Separately,PB,94.14,56120.65,26982.73,1721.44,0
13811.25,Married Filing Separately,RJ,82.33,5045.09,421.87,4418.23,0
59418.28,Married Filing Jointly,ES,73.89,7025.77,19175.69,389.78,0
98740.09,Married Filing Separately,MG,79.48,15043.37,17717.51,13693.3,0
107277.68,Married Filing Separately,PA,80.63,28049.73,6477.813030959338,10.81,0
35071.83,Married Filing Separately,RR,89.53,1655.12,3622.3,6411.67,0
