Sector,Level,Salary
Tecnologia da Informação,Entry,53763
Tecnologia da Informação,Mid,85961
Tecnologia da Informação,Senior,143176
Tecnologia da Informação,Entry,50767
Tecnologia da Informação,Mid,103330
Tecnologia da Informação,Senior,136685
Tecnologia da Informação,Entry,64835
Tecnologia da Informação,Mid,103035
Tecnologia da Informação,Senior,166133
Tecnologia da Informação,Entry,61246
Tecnologia da Informação,Mid,87231
Tecnologia da Informação,Senior,166321
Tecnologia da Informação,Entry,68804
Tecnologia da Informação,Mid,96008
Tecnologia da Informação,Senior,141386
Tecnologia da Informação,Entry,64593
Tecnologia da Informação,Mid,88820
Tecnologia da Informação,Senior,205852
Tecnologia da Informação,Entry,55562
Tecnologia da Informação,Mid,86135
Tecnologia da Informação,Senior,143215
Tecnologia da Informação,Entry,63701
Tecnologia da Informação,Mid,94407
Tecnologia da Informação,Senior,149352
Tecnologia da Informação,Entry,59425
Tecnologia da Informação,Mid,100204
Tecnologia da Informação,Senior,203684
Tecnologia da Informação,Entry,68865
Tecnologia da Informação,Mid,97221
Tecnologia da Informação,Senior,153844
Tecnologia da Informação,Entry,63896
Tecnologia da Informação,Mid,95398
Tecnologia da Informação,Senior,190199
Tecnologia da Informação,Entry,55704
Tecnologia da Informação,Mid,101679
Tecnologia da Informação,Senior,198946
Tecnologia da Informação,Entry,59346
Tecnologia da Informação,Mid,97160
Tecnologia da Informação,Senior,194207
Tecnologia da Informação,Entry,52962
Tecnologia da Informação,Mid,84184
Tecnologia da Informação,Senior,151845
Tecnologia da Informação,Entry,69656
Tecnologia da Informação,Mid,94419
Tecnologia da Informação,Senior,200617
Tecnologia da Informação,Entry,69700
Tecnologia da Informação,Mid,94835
Tecnologia da Informação,Senior,200173
Tecnologia da Informação,Entry,60169
Tecnologia da Informação,Mid,94181
Tecnologia da Informação,Senior,195650
Tecnologia da Informação,Entry,52696
Tecnologia da Informação,Mid,84158
Tecnologia da Informação,Senior,180319
Tecnologia da Informação,Entry,69895
Tecnologia da Informação,Mid,91582
Tecnologia da Informação,Senior,138630
Tecnologia da Informação,Entry,60950
Tecnologia da Informação,Mid,94986
Tecnologia da Informação,Senior,166083
Tecnologia da Informação,Entry,64651
Tecnologia da Informação,Mid,94898
Tecnologia da Informação,Senior,168378
Tecnologia da Informação,Entry,57242
Tecnologia da Informação,Mid,95010
Tecnologia da Informação,Senior,202249
Tecnologia da Informação,Entry,51415
Tecnologia da Informação,Mid,104912
Tecnologia da Informação,Senior,160055
Tecnologia da Informação,Entry,59243
Tecnologia da Informação,Mid,92855
Tecnologia da Informação,Senior,172945
Tecnologia da Informação,Entry,60245
Tecnologia da Informação,Mid,104314
Tecnologia da Informação,Senior,204819
Tecnologia da Informação,Entry,63794
Tecnologia da Informação,Mid,103725
Tecnologia da Informação,Senior,180312
Tecnologia da Informação,Entry,55249
Tecnologia da Informação,Mid,89691
Tecnologia da Informação,Senior,162937
Tecnologia da Informação,Entry,62811
Tecnologia da Informação,Mid,101585
Tecnologia da Informação,Senior,186685
Tecnologia da Informação,Entry,60309
Tecnologia da Informação,Mid,92605
Tecnologia da Informação,Senior,155261
Tecnologia da Informação,Entry,63332
Tecnologia da Informação,Mid,99494
Tecnologia da Informação,Senior,195114
Tecnologia da Informação,Entry,59560
Tecnologia da Informação,Mid,96715
Tecnologia da Informação,Senior,184450
Tecnologia da Informação,Entry,65387
Tecnologia da Informação,Mid,88212
Tecnologia da Informação,Senior,175165
Tecnologia da Informação,Entry,69836
Tecnologia da Informação,Mid,92488
Tecnologia da Informação,Senior,201137
Tecnologia da Informação,Entry,59929
Tecnologia da Informação,Mid,92920
Tecnologia da Informação,Senior,172886
Tecnologia da Informação,Entry,59734
Tecnologia da Informação,Mid,87491
Tecnologia da Informação,Senior,168737
Tecnologia da Informação,Entry,63487
Tecnologia da Informação,Mid,97405
Tecnologia da Informação,Senior,179904
Tecnologia da Informação,Entry,50778
Tecnologia da Informação,Mid,97539
Tecnologia da Informação,Senior,193480
Tecnologia da Informação,Entry,62091
Tecnologia da Informação,Mid,94130
Tecnologia da Informação,Senior,156968
Tecnologia da Informação,Entry,57272
Tecnologia da Informação,Mid,85105
Tecnologia da Informação,Senior,149508
Tecnologia da Informação,Entry,57009
Tecnologia da Informação,Mid,96629
Tecnologia da Informação,Senior,191699
Tecnologia da Informação,Entry,69318
Tecnologia da Informação,Mid,96213
Tecnologia da Informação,Senior,194754
Tecnologia da Informação,Entry,51983
Tecnologia da Informação,Mid,100720
Tecnologia da Informação,Senior,159413
Tecnologia da Informação,Entry,63360
Tecnologia da Informação,Mid,96180
Tecnologia da Informação,Senior,199414
Tecnologia da Informação,Entry,61617
Tecnologia da Informação,Mid,95654
Tecnologia da Informação,Senior,204542
Tecnologia da Informação,Entry,65082
Tecnologia da Informação,Mid,97010
Tecnologia da Informação,Senior,169136
Tecnologia da Informação,Entry,65774
Tecnologia da Informação,Mid,91691
Tecnologia da Informação,Senior,185580
Tecnologia da Informação,Entry,68550
Tecnologia da Informação,Mid,90176
Tecnologia da Informação,Senior,204429
Tecnologia da Informação,Entry,53441
Tecnologia da Informação,Mid,85001
Tecnologia da Informação,Senior,197636
Tecnologia da Informação,Entry,60689
Tecnologia da Informação,Mid,90298
Tecnologia da Informação,Senior,181729
Tecnologia da Informação,Entry,53801
Tecnologia da Informação,Mid,101958
Tecnologia da Informação,Senior,183019
Tecnologia da Informação,Entry,58370
Tecnologia da Informação,Mid,98602
Tecnologia da Informação,Senior,187929
Tecnologia da Informação,Entry,52036
Tecnologia da Informação,Mid,102290
Tecnologia da Informação,Senior,208105
Tecnologia da Informação,Entry,50691
Tecnologia da Informação,Mid,87900
Tecnologia da Informação,Senior,184467
Tecnologia da Informação,Entry,57381
Tecnologia da Informação,Mid,88038
Tecnologia da Informação,Senior,147395
Tecnologia da Informação,Entry,63428
Tecnologia da Informação,Mid,88003
Tecnologia da Informação,Senior,157562
Tecnologia da Informação,Entry,61761
Tecnologia da Informação,Mid,95856
Tecnologia da Informação,Senior,157495
Tecnologia da Informação,Entry,56390
Tecnologia da Informação,Mid,94997
Tecnologia da Informação,Senior,191839
Tecnologia da Informação,Entry,66337
Tecnologia da Informação,Mid,92909
Tecnologia da Informação,Senior,187802
Tecnologia da Informação,Entry,58654
Tecnologia da Informação,Mid,84429
Tecnologia da Informação,Senior,143051
